Spice_Type,Adulterant_Type,Adulteration_Level,Moisture,Ash_Content,Acid_Insoluble_Ash,Volatile_Oil,Protein,Fiber,Color_Intensity,Density,pH,Electrical_Conductivity,Is_Adulterated
Chili Powder,None,0.0,5.52,1.44,0.48,1.74,11.23,20.38,69.71,0.319,6.33,0.272,0
Chili Powder,None,0.0,7.06,2.18,0.71,0.19,8.31,17.62,62.42,0.25,6.25,0.219,0
Black Pepper,None,0.0,6.54,3.31,0.58,0.96,10.66,17.68,62.55,0.343,6.11,0.277,0
Cumin,None,0.0,5.54,1.48,0.23,0.96,9.02,16.83,62.84,0.359,5.31,0.05,0
Turmeric,None,0.0,4.07,1.2,0.41,1.82,8.57,13.32,61.91,0.419,5.41,0.146,0
Turmeric,None,0.0,5.46,2.19,0.39,1.13,10.66,16.68,60.79,0.384,5.33,0.178,0
Cinnamon,None,0.0,4.5,1.46,1.07,0.12,11.88,10.79,73.66,0.349,5.34,0.184,0
Paprika,Potato,33.254079640570566,5.34,1.29,1.69,0.1,8.79,16.95,61.52,0.417,5.2,0.215,1
Ginger,None,0.0,5.92,4.33,0.64,1.39,8.24,13.56,66.92,0.405,5.15,0.404,0
Black Pepper,None,0.0,7.49,3.83,0.12,1.71,9.84,12.69,52.57,0.344,5.56,0.344,0
Chili Powder,Sawdust,34.040190324574446,7.77,1.0,2.08,0.1,9.56,17.7,69.34,0.469,5.32,0.503,1
Turmeric,None,0.0,5.3,2.51,0.96,1.13,7.8,13.59,83.88,0.338,5.72,0.197,0
Turmeric,Metanil Yellow,28.965690060257486,4.98,3.7,1.88,0.1,10.59,13.32,67.95,0.411,5.83,0.301,1
Paprika,Acacia Gum,14.989468827471043,4.61,3.53,0.97,1.5,11.14,13.88,77.89,0.421,5.11,0.075,1
Ginger,None,0.0,6.3,3.75,0.45,0.5,11.52,14.96,72.18,0.339,5.38,0.05,0
Ginger,None,0.0,5.36,5.77,0.44,0.91,11.24,18.0,70.86,0.341,5.64,0.186,0
Cumin,None,0.0,4.73,1.61,0.46,0.56,11.22,15.48,76.74,0.288,5.42,0.235,0
Chili Powder,None,0.0,6.18,3.6,0.26,2.2,9.8,14.61,82.44,0.474,5.68,0.254,0
Turmeric,None,0.0,4.59,4.55,1.07,1.34,9.69,14.24,68.97,0.377,5.16,0.05,0
Black Pepper,Capsicum,19.826524563655035,5.36,3.29,1.29,0.1,11.82,18.02,73.59,0.257,5.23,0.217,1
Chili Powder,None,0.0,5.71,3.64,0.58,0.48,10.4,15.52,71.05,0.345,5.56,0.183,0
Turmeric,None,0.0,4.91,2.48,0.68,1.08,10.23,12.93,66.98,0.332,5.69,0.05,0
Chili Powder,Sudan Red Dye,32.961434048880356,5.59,2.88,1.93,0.1,10.94,18.87,64.21,0.537,6.27,0.465,1
Cinnamon,Coffee Bran,62.70384910365972,6.41,1.8,3.21,0.1,9.09,11.35,56.11,0.622,6.03,0.592,1
Black Pepper,Mustard Husk,27.90007747359659,8.13,1.0,1.8,0.1,12.39,13.81,81.78,0.373,5.39,0.251,1
Turmeric,None,0.0,3.0,2.36,0.21,1.14,9.02,16.6,75.98,0.341,5.16,0.218,0
Black Pepper,None,0.0,3.0,4.44,0.34,0.1,8.31,16.51,67.6,0.406,5.48,0.128,0
Chili Powder,None,0.0,5.64,1.0,0.84,0.21,10.75,16.7,65.44,0.356,5.15,0.345,0
Cumin,Walnut Shell,38.8296459890599,5.88,4.14,2.2,0.1,9.3,17.1,60.07,0.571,5.56,0.573,1
Ginger,Tapioca,26.85041675339379,7.99,3.19,1.42,0.1,9.48,17.93,56.03,0.475,5.37,0.434,1
Turmeric,None,0.0,7.94,1.47,0.49,0.82,10.24,18.48,82.23,0.33,5.4,0.136,0
Cumin,None,0.0,5.55,1.68,0.33,1.11,10.04,14.31,65.84,0.448,5.61,0.303,0
Black Pepper,None,0.0,5.4,1.0,0.96,0.94,12.6,18.07,73.42,0.33,5.64,0.281,0
Turmeric,None,0.0,5.23,4.62,0.1,0.61,10.05,18.37,76.6,0.357,5.39,0.329,0
Paprika,Pedicel,59.639235480257476,5.64,1.37,2.65,0.1,10.44,13.07,60.14,0.627,6.17,0.433,1
Chili Powder,None,0.0,4.24,1.31,0.37,0.94,10.0,20.98,64.01,0.301,5.48,0.244,0
Turmeric,Metanil Yellow,7.04398707883159,6.51,3.29,1.25,0.17,10.53,13.46,68.91,0.386,4.73,0.212,1
Turmeric,None,0.0,3.73,3.76,0.56,1.44,9.29,10.99,79.05,0.267,5.92,0.278,0
Black Pepper,None,0.0,5.82,3.16,0.34,0.63,9.39,17.54,67.87,0.337,5.65,0.092,0
Chili Powder,None,0.0,5.5,1.98,1.36,1.6,10.06,13.1,78.31,0.469,5.81,0.279,0
Paprika,None,0.0,3.0,3.97,0.1,0.86,12.24,18.85,65.78,0.291,5.66,0.268,0
Black Pepper,None,0.0,6.51,3.71,0.58,0.64,10.11,15.69,70.34,0.449,5.05,0.05,0
Cumin,None,0.0,3.55,2.21,0.48,1.49,9.73,17.2,77.01,0.274,5.64,0.389,0
Chili Powder,None,0.0,4.18,1.87,1.08,0.79,9.76,12.99,67.47,0.53,5.06,0.256,0
Cumin,None,0.0,4.8,1.81,0.28,1.75,12.09,14.51,79.27,0.241,5.8,0.068,0
Black Pepper,Capsicum,26.91813228598193,5.75,2.2,2.35,0.1,8.94,10.73,74.61,0.437,5.26,0.371,1
Paprika,Acacia Gum,25.470659784830612,6.17,1.59,1.34,0.1,10.53,15.33,58.31,0.474,5.4,0.462,1
Paprika,None,0.0,5.17,2.52,0.54,1.21,11.02,14.5,59.46,0.378,5.76,0.151,0
Cinnamon,None,0.0,5.37,4.44,0.27,1.79,9.56,18.07,69.38,0.387,5.1,0.141,0
Paprika,None,0.0,5.96,2.92,0.34,0.9,11.23,15.54,74.27,0.406,5.51,0.05,0
Paprika,None,0.0,3.0,3.94,0.1,1.24,13.02,9.61,51.68,0.267,5.73,0.303,0
Cinnamon,None,0.0,4.96,4.48,0.6,0.75,12.03,15.9,80.64,0.278,5.11,0.154,0
Ginger,Wheat Flour,16.16114928328973,3.53,2.55,0.87,0.21,8.1,17.38,69.91,0.388,5.56,0.384,1
Paprika,None,0.0,4.41,3.89,0.66,0.1,8.24,13.77,61.28,0.382,5.33,0.416,0
Cumin,Pecan Shell,64.1322444657228,6.77,2.57,2.7,0.1,9.27,12.1,50.21,0.687,5.75,0.501,1
Cinnamon,None,0.0,3.6,4.82,0.39,0.73,9.14,12.69,63.08,0.322,5.8,0.25,0
Paprika,Annatto,28.394412353998625,4.99,2.2,1.68,0.1,11.66,15.1,56.31,0.503,5.36,0.437,1
Black Pepper,None,0.0,7.37,3.13,0.1,1.01,9.94,15.31,71.67,0.415,5.73,0.269,0
Paprika,Acacia Gum,43.103530802383084,7.09,2.78,2.36,0.1,12.13,15.86,50.52,0.552,5.45,0.349,1
Cinnamon,None,0.0,3.0,1.76,0.78,1.35,6.95,15.66,70.57,0.329,5.62,0.261,0
Turmeric,None,0.0,3.46,3.93,0.79,1.3,8.57,13.86,88.16,0.303,6.03,0.464,0
Cinnamon,Walnut Shell,35.57415188001632,3.27,3.47,1.96,0.1,7.57,13.62,64.04,0.523,5.74,0.277,1
Cinnamon,Peanut Shell,55.91559786425849,8.27,1.0,1.98,0.1,8.29,12.11,64.83,0.684,5.94,0.595,1
Black Pepper,None,0.0,4.63,2.11,0.6,0.59,10.43,14.74,66.28,0.379,5.58,0.105,0
Ginger,None,0.0,4.57,3.29,0.1,0.73,10.95,15.81,61.32,0.271,5.16,0.228,0
Ginger,None,0.0,4.04,2.09,0.96,1.21,7.82,12.49,62.12,0.301,5.53,0.199,0
Cinnamon,None,0.0,6.69,3.82,0.61,0.1,9.74,17.9,65.97,0.345,5.63,0.327,0
Chili Powder,None,0.0,3.22,2.24,0.41,1.24,9.59,13.5,63.49,0.319,4.99,0.277,0
Paprika,None,0.0,5.28,3.05,1.18,2.07,11.02,9.39,61.74,0.46,5.68,0.224,0
Paprika,None,0.0,5.28,1.83,0.27,1.18,10.3,16.79,74.02,0.399,5.05,0.05,0
Chili Powder,Brick Powder,51.70924314486272,5.71,1.42,2.09,0.1,9.65,17.26,75.91,0.502,5.44,0.468,1
Paprika,Seed Cake,13.835628578875841,3.68,2.11,0.94,0.1,10.15,12.93,62.94,0.408,5.77,0.196,1
Cumin,Pecan Shell,32.01915418558646,3.34,1.79,2.22,0.1,12.26,16.25,54.93,0.562,5.66,0.687,1
Paprika,None,0.0,3.98,4.62,0.49,0.71,7.47,11.98,63.18,0.379,4.66,0.113,0
Cumin,None,0.0,6.05,3.21,0.29,1.28,10.2,15.14,58.21,0.324,6.06,0.135,0
Ginger,Rice Powder,39.79142775090509,4.66,3.27,1.98,0.1,8.74,16.64,55.5,0.609,5.26,0.409,1
Cinnamon,None,0.0,5.75,1.73,0.44,0.2,8.48,17.67,75.88,0.369,5.49,0.302,0
Cumin,Small Broken Rice,32.08516457877534,6.79,1.0,1.92,0.1,10.11,13.75,52.78,0.565,5.67,0.358,1
Turmeric,None,0.0,3.0,3.34,1.05,1.45,11.02,14.49,68.36,0.442,5.96,0.05,0
Cinnamon,None,0.0,6.78,4.0,0.38,1.01,12.44,15.3,74.0,0.399,5.78,0.05,0
Chili Powder,Sudan Red Dye,6.268967095369618,5.39,3.16,0.69,0.79,10.5,15.07,72.55,0.383,5.28,0.438,1
Black Pepper,None,0.0,7.35,2.53,0.65,0.77,9.63,12.96,57.85,0.349,5.21,0.171,0
Turmeric,None,0.0,7.91,3.32,0.15,1.29,10.94,14.38,69.33,0.381,6.07,0.05,0
Chili Powder,None,0.0,8.27,2.73,0.44,2.09,10.45,14.95,79.76,0.276,5.51,0.129,0
Chili Powder,Sawdust,12.335780721340315,3.0,2.91,1.17,1.06,9.08,16.74,53.82,0.338,5.14,0.392,1
Black Pepper,None,0.0,4.71,3.44,0.51,1.93,7.31,15.03,74.84,0.321,5.43,0.275,0
Black Pepper,Corn Flour,29.049927587398532,7.07,2.67,1.78,0.41,9.08,12.02,46.83,0.515,5.15,0.544,1
Cumin,None,0.0,6.46,3.1,0.22,1.17,10.51,16.54,79.71,0.317,5.17,0.353,0
Black Pepper,None,0.0,5.25,3.34,0.66,1.25,11.65,13.2,78.22,0.346,5.55,0.095,0
Black Pepper,Mustard Husk,52.70482406870053,4.92,1.0,2.2,0.1,14.05,21.87,49.07,0.611,5.34,0.564,1
Cumin,Grass Seeds,23.56572897943251,6.99,1.75,1.29,0.1,11.62,15.56,62.92,0.482,4.72,0.333,1
Cumin,None,0.0,6.14,1.96,0.5,1.77,9.26,11.08,79.44,0.461,5.88,0.05,0
Cinnamon,Walnut Shell,35.93624414060207,8.69,2.34,1.91,0.1,8.88,12.88,51.85,0.591,5.64,0.582,1
Cinnamon,Peanut Shell,54.23114289151678,4.94,1.0,2.68,0.1,7.43,14.82,66.21,0.656,5.92,0.62,1
Cinnamon,None,0.0,3.0,2.89,1.32,1.44,14.24,16.88,70.58,0.345,5.37,0.05,0
Cumin,None,0.0,4.92,3.81,0.83,0.68,9.83,16.85,74.16,0.261,5.47,0.227,0
Paprika,Potato,48.810089119540486,8.54,2.52,2.54,0.1,10.77,13.43,71.88,0.628,5.79,0.535,1
Cinnamon,None,0.0,6.54,1.96,0.72,1.17,10.29,8.54,76.58,0.203,5.29,0.05,0
Paprika,Pedicel,39.76206349974592,7.27,1.42,2.24,0.1,7.9,17.09,56.21,0.536,5.28,0.515,1
Chili Powder,None,0.0,7.66,2.39,1.05,1.38,9.24,12.81,50.45,0.303,5.54,0.244,0
Cumin,None,0.0,6.75,2.08,0.99,0.67,10.06,14.51,65.3,0.234,5.79,0.181,0
Black Pepper,None,0.0,7.75,2.56,0.44,1.03,9.44,15.25,75.7,0.339,5.2,0.05,0
Cinnamon,Coffee Bran,28.236401726972385,5.91,1.67,2.15,0.1,7.95,14.25,66.47,0.474,5.23,0.21,1
Chili Powder,None,0.0,5.24,2.38,0.1,1.13,11.15,11.05,66.49,0.403,5.32,0.344,0
Paprika,None,0.0,6.59,4.04,0.1,0.85,9.5,16.24,83.19,0.354,5.55,0.083,0
Paprika,None,0.0,3.67,3.46,0.32,0.78,12.41,12.95,54.72,0.285,5.74,0.223,0
Turmeric,None,0.0,4.92,2.3,0.4,0.47,11.31,10.8,78.52,0.317,6.31,0.09,0
Paprika,None,0.0,8.25,2.42,0.1,1.23,11.36,10.28,56.76,0.347,5.36,0.225,0
Black Pepper,Mustard Husk,18.4495521774976,5.7,3.81,1.13,0.1,8.32,16.42,81.69,0.423,5.37,0.379,1
Cinnamon,None,0.0,8.5,2.95,0.19,1.39,9.97,14.6,67.8,0.444,5.71,0.232,0
Cinnamon,None,0.0,6.1,2.88,1.01,2.02,10.9,13.82,66.76,0.261,5.37,0.244,0
Black Pepper,Papaya Seeds,6.3007620358703615,5.58,1.0,1.71,1.0,10.9,17.62,74.17,0.381,5.15,0.266,1
Chili Powder,None,0.0,3.0,3.48,0.94,1.34,9.21,16.94,75.18,0.392,5.16,0.108,0
Black Pepper,None,0.0,6.91,1.19,1.24,1.04,12.09,16.4,61.76,0.331,4.67,0.275,0
Paprika,None,0.0,7.65,1.88,0.1,1.93,7.27,16.39,78.58,0.376,5.19,0.232,0
Black Pepper,None,0.0,5.35,3.06,0.54,1.48,6.9,17.32,75.25,0.438,5.43,0.058,0
Chili Powder,None,0.0,3.0,2.84,1.31,0.88,9.41,15.44,60.62,0.287,5.27,0.152,0
Black Pepper,None,0.0,4.62,3.21,0.85,1.46,9.34,12.18,74.13,0.294,5.71,0.274,0
Cumin,Rice Bran,42.92331625620753,6.14,2.54,2.43,0.1,7.43,16.72,68.42,0.6,5.92,0.367,1
Black Pepper,Cassava Starch,16.50781414434583,6.77,3.46,1.12,0.66,11.32,14.31,72.15,0.295,4.79,0.201,1
Paprika,None,0.0,3.56,2.49,0.44,0.62,8.64,14.07,80.7,0.412,5.8,0.402,0
Ginger,None,0.0,4.54,3.09,0.23,0.87,10.64,11.71,60.63,0.333,5.42,0.177,0
Cinnamon,Corn Bran,40.20370508189229,8.09,3.37,2.68,0.1,7.83,15.44,69.3,0.57,6.04,0.627,1
Paprika,None,0.0,4.72,2.98,0.66,0.78,11.31,11.86,76.36,0.379,5.88,0.268,0
Ginger,None,0.0,5.88,1.0,0.48,1.33,6.73,8.71,72.18,0.356,4.79,0.102,0
Ginger,None,0.0,4.16,2.46,0.1,1.38,11.0,17.04,65.2,0.309,5.14,0.159,0
Black Pepper,None,0.0,6.05,4.82,0.51,0.94,7.29,11.53,79.22,0.354,5.67,0.291,0
Cinnamon,None,0.0,6.48,2.46,0.71,0.14,10.01,11.46,64.3,0.33,5.69,0.156,0
Turmeric,Sawdust,34.336887135016326,3.96,1.0,1.76,0.1,11.47,17.21,57.13,0.401,5.03,0.301,1
Cinnamon,None,0.0,4.6,2.31,0.89,0.89,9.81,11.86,70.23,0.298,5.06,0.05,0
Chili Powder,None,0.0,4.04,3.25,0.19,0.7,9.0,17.37,63.55,0.291,5.07,0.236,0
Turmeric,None,0.0,3.79,3.03,0.77,1.15,10.68,14.1,84.19,0.268,5.12,0.361,0
Chili Powder,Brick Powder,27.518135183109532,4.55,1.0,0.99,0.1,12.15,15.35,73.34,0.462,5.47,0.456,1
Cinnamon,None,0.0,3.27,2.94,0.52,1.51,9.26,13.49,68.71,0.352,5.88,0.105,0
Chili Powder,None,0.0,4.27,4.36,0.1,0.7,7.19,16.93,62.61,0.321,5.51,0.05,0
Black Pepper,None,0.0,3.0,1.0,0.85,0.6,12.88,15.99,75.84,0.385,5.65,0.16,0
Chili Powder,Sawdust,5.585368177190891,4.79,1.59,0.29,1.1,13.81,15.76,59.79,0.397,5.1,0.485,1
Turmeric,None,0.0,6.74,4.27,0.95,1.57,9.21,16.8,78.92,0.38,5.32,0.171,0
Cinnamon,Walnut Shell,63.849257237057785,7.47,1.3,2.89,0.1,10.29,13.08,67.82,0.573,6.51,0.737,1
Paprika,None,0.0,3.51,2.32,0.28,0.1,11.35,16.85,69.16,0.348,5.74,0.287,0
Black Pepper,None,0.0,8.73,4.06,0.54,0.63,10.45,14.05,74.08,0.345,5.14,0.05,0
Cinnamon,None,0.0,4.79,2.36,0.25,0.61,10.74,14.21,72.0,0.363,5.76,0.307,0
Turmeric,None,0.0,3.76,1.42,0.1,0.89,9.27,15.42,68.04,0.421,5.75,0.151,0
Paprika,None,0.0,8.08,1.13,0.7,0.82,8.72,11.93,76.03,0.348,5.17,0.235,0
Black Pepper,Capsicum,53.39619571179765,6.16,1.19,2.97,0.1,12.17,13.05,56.83,0.577,5.98,0.487,1
Cumin,None,0.0,5.36,1.72,0.84,0.69,11.03,16.25,66.97,0.295,5.43,0.352,0
Paprika,None,0.0,6.75,2.09,0.76,0.69,9.92,15.57,62.59,0.282,4.95,0.229,0
Black Pepper,None,0.0,7.16,3.75,0.82,0.54,11.35,13.45,72.58,0.329,5.46,0.083,0
Chili Powder,None,0.0,3.76,2.79,0.44,1.14,10.77,14.04,71.41,0.438,5.62,0.076,0
Turmeric,Sawdust,13.60148614780594,6.16,4.25,1.29,0.29,9.24,15.51,60.48,0.413,5.39,0.393,1
Chili Powder,Brick Powder,69.36726658238032,8.82,1.74,3.55,0.1,11.33,13.91,49.47,0.646,5.34,0.811,1
Cinnamon,Walnut Shell,37.1501709821521,6.83,3.41,2.49,0.1,6.57,14.96,64.89,0.472,5.51,0.318,1
Paprika,Acacia Gum,36.266220687030014,4.46,1.56,1.8,0.1,7.78,16.87,68.5,0.522,5.54,0.491,1
Black Pepper,None,0.0,3.0,3.27,0.58,0.46,10.21,14.72,76.89,0.376,5.69,0.126,0
Paprika,None,0.0,3.03,3.5,0.26,1.88,11.92,14.16,75.89,0.385,5.76,0.252,0
Ginger,None,0.0,5.97,3.52,0.54,1.47,10.22,15.89,47.36,0.29,5.22,0.294,0
Cinnamon,Coffee Bran,51.30561185073991,9.09,1.0,2.49,0.1,8.47,14.66,65.62,0.627,6.33,0.602,1
Black Pepper,None,0.0,3.95,3.33,0.6,0.24,9.29,13.03,71.36,0.333,5.65,0.05,0
Cinnamon,None,0.0,5.52,2.2,1.16,0.67,5.87,19.17,63.29,0.331,5.36,0.353,0
Black Pepper,Cassava Starch,49.73133838694712,6.37,3.47,2.64,0.1,6.7,17.15,64.86,0.606,5.65,0.519,1
Black Pepper,Cassava Starch,59.81660306797593,6.67,1.88,3.13,0.1,10.89,16.85,52.53,0.662,6.39,0.659,1
Cumin,None,0.0,5.04,1.04,0.84,1.09,9.83,14.98,62.99,0.329,6.02,0.145,0
Ginger,None,0.0,5.97,3.16,0.2,0.11,11.08,17.21,71.4,0.283,5.6,0.05,0
Cumin,None,0.0,3.0,1.88,0.67,0.74,9.56,14.51,57.1,0.407,5.63,0.327,0
Cinnamon,None,0.0,5.9,2.45,0.34,0.86,11.39,13.3,70.63,0.363,5.06,0.292,0
Ginger,None,0.0,5.81,2.56,0.19,0.16,10.44,12.81,69.11,0.321,4.5,0.187,0
Cumin,None,0.0,6.33,2.25,0.52,1.42,5.0,15.49,75.95,0.289,5.83,0.252,0
Chili Powder,Sawdust,47.48630897665238,5.81,1.69,2.5,0.1,7.87,18.31,54.28,0.583,5.27,0.453,1
Paprika,None,0.0,5.02,1.0,0.48,0.82,11.59,19.16,65.44,0.413,5.78,0.242,0
Ginger,None,0.0,6.26,1.84,0.27,1.18,12.43,20.19,54.05,0.416,5.47,0.092,0
Turmeric,None,0.0,6.85,2.84,0.1,2.82,8.75,17.01,58.48,0.362,5.24,0.05,0
Paprika,None,0.0,3.17,3.52,0.1,1.35,7.86,14.82,70.19,0.346,5.59,0.079,0
Cinnamon,None,0.0,8.77,4.42,0.6,0.82,8.3,11.06,71.23,0.423,5.28,0.294,0
Paprika,None,0.0,7.06,1.0,0.35,1.58,7.27,13.46,81.13,0.327,6.02,0.107,0
Black Pepper,None,0.0,8.9,3.37,0.83,1.38,11.05,16.15,50.86,0.301,5.58,0.05,0
Ginger,Bean Powder,21.4902939497277,5.3,3.37,1.12,0.41,10.52,14.88,69.6,0.449,5.19,0.15,1
Ginger,None,0.0,5.4,4.92,0.2,0.31,9.28,18.12,73.37,0.349,5.53,0.05,0
Turmeric,None,0.0,5.14,2.71,0.35,0.65,9.2,17.61,70.25,0.309,5.64,0.111,0
Paprika,None,0.0,4.71,4.29,0.46,0.61,12.64,16.77,65.03,0.309,5.5,0.05,0
Cinnamon,None,0.0,3.0,2.59,0.58,1.04,11.46,11.81,61.58,0.333,5.43,0.054,0
Cinnamon,None,0.0,3.91,5.9,0.37,1.01,7.39,17.8,85.66,0.267,5.54,0.149,0
Cinnamon,None,0.0,6.31,4.44,0.2,1.11,10.23,16.65,69.44,0.297,5.03,0.071,0
Cumin,None,0.0,5.68,3.88,0.67,0.62,11.22,18.33,65.13,0.35,5.47,0.285,0
Cinnamon,None,0.0,6.59,3.56,0.77,0.1,11.39,15.34,75.79,0.349,5.5,0.248,0
Ginger,None,0.0,4.94,3.56,0.17,1.34,11.37,16.26,69.3,0.431,5.97,0.198,0
Ginger,Corn Starch,56.15244725405159,6.51,2.43,2.81,0.1,7.26,16.97,59.66,0.591,5.15,0.412,1
Paprika,None,0.0,5.83,4.15,0.48,1.23,10.93,17.78,68.0,0.364,5.71,0.05,0
Paprika,None,0.0,3.01,4.5,0.19,0.97,9.44,16.37,58.07,0.206,6.05,0.212,0
Cumin,Small Broken Rice,13.471343698330001,3.28,3.38,1.48,0.91,9.02,14.89,62.75,0.373,4.72,0.313,1
Black Pepper,Cassava Starch,10.904481768991921,4.83,2.4,0.74,1.12,10.36,10.2,77.45,0.428,5.36,0.339,1
Chili Powder,Sudan Red Dye,25.84968691141051,8.89,1.0,1.49,0.1,10.93,15.53,64.03,0.475,5.02,0.392,1
Black Pepper,None,0.0,7.7,3.31,0.35,0.93,10.63,15.24,67.56,0.295,5.75,0.132,0
Ginger,None,0.0,6.91,2.83,1.15,0.83,8.86,13.18,67.8,0.314,5.91,0.135,0
Turmeric,Metanil Yellow,32.84228163827243,5.39,2.89,1.2,0.1,12.23,16.67,60.68,0.43,5.85,0.56,1
Turmeric,Metanil Yellow,53.27750614461576,4.79,3.67,2.43,0.1,11.15,16.82,49.54,0.555,6.01,0.499,1
Cumin,Small Broken Rice,65.00435270159575,6.76,3.41,2.56,0.1,10.86,13.95,50.08,0.624,5.9,0.635,1
Ginger,Wheat Flour,18.990127586872624,6.56,1.0,1.38,0.36,5.83,16.73,73.06,0.508,5.0,0.295,1
Paprika,None,0.0,4.59,2.79,0.75,1.36,9.39,20.97,84.7,0.286,4.72,0.33,0
Cinnamon,None,0.0,5.95,1.37,0.78,0.58,7.03,14.72,53.13,0.398,5.37,0.05,0
Black Pepper,Mustard Husk,7.138988993763158,7.37,3.86,1.34,0.37,10.39,14.07,60.3,0.356,5.36,0.449,1
Turmeric,Lead Chromate,56.434353475956456,8.46,3.1,2.79,0.1,11.36,17.08,62.29,0.63,5.9,0.502,1
Chili Powder,None,0.0,3.0,3.14,0.13,0.44,8.87,9.05,63.1,0.254,5.79,0.244,0
Paprika,Pedicel,69.06618530570077,6.86,1.0,3.31,0.1,10.04,16.18,40.07,0.73,6.0,0.545,1
Cumin,None,0.0,5.56,4.33,0.41,1.83,9.55,14.16,69.25,0.301,5.31,0.265,0
Cinnamon,None,0.0,5.91,2.58,0.84,0.27,8.28,16.71,70.25,0.365,6.07,0.051,0
Black Pepper,None,0.0,5.41,3.16,0.1,1.14,7.67,18.99,73.74,0.472,5.62,0.237,0
Black Pepper,Papaya Seeds,5.39568951341335,4.51,2.69,0.44,1.15,9.63,14.98,60.83,0.347,5.48,0.135,1
Turmeric,Chalk Powder,24.00166523341986,7.39,1.0,1.17,0.1,7.38,12.34,65.47,0.5,5.47,0.367,1
Ginger,Tapioca,47.56884463765902,6.92,1.77,2.69,0.1,9.68,16.09,58.71,0.522,5.35,0.679,1
Cinnamon,None,0.0,5.76,1.0,0.1,0.43,9.94,12.22,70.89,0.419,5.8,0.344,0
Cinnamon,None,0.0,8.31,3.6,0.77,1.02,12.06,15.91,77.17,0.274,5.39,0.277,0
Cumin,None,0.0,4.8,2.04,0.38,0.68,11.76,18.75,62.44,0.409,5.13,0.124,0
Cinnamon,None,0.0,5.03,4.43,0.65,0.96,9.22,12.84,76.8,0.395,5.54,0.096,0
Black Pepper,Corn Flour,51.72128726330167,8.1,1.0,2.44,0.1,8.68,17.13,60.57,0.638,5.43,0.47,1
Black Pepper,None,0.0,4.74,2.17,0.79,1.12,12.99,11.06,67.74,0.344,5.02,0.139,0
Ginger,Bean Powder,64.89084322001275,5.68,1.76,2.71,0.1,12.98,17.15,66.18,0.667,5.73,0.756,1
Paprika,Seed Cake,33.37994654311221,4.58,1.82,2.13,0.1,11.31,14.46,61.62,0.542,5.39,0.205,1
Paprika,Acacia Gum,29.173239970176443,7.59,3.2,2.0,0.1,8.24,11.46,67.89,0.474,5.93,0.207,1
Cumin,Small Broken Rice,16.58786254093265,5.87,2.5,1.75,0.17,12.05,11.53,70.91,0.41,4.93,0.2,1
Black Pepper,None,0.0,5.27,1.47,0.86,1.01,9.36,15.02,72.55,0.216,5.36,0.223,0
Cinnamon,Coffee Bran,32.138982396989476,6.73,1.0,1.74,0.1,8.71,11.94,64.01,0.588,4.96,0.368,1
Ginger,Wheat Flour,47.4893732677138,9.31,1.18,2.64,0.1,9.0,12.88,49.03,0.606,5.58,0.559,1
Chili Powder,None,0.0,6.24,4.32,0.13,1.23,7.97,15.4,68.16,0.304,6.1,0.389,0
Paprika,None,0.0,4.32,2.85,0.1,1.86,11.78,11.35,74.78,0.379,5.11,0.242,0
Cinnamon,Coffee Bran,50.20778834100934,5.32,2.8,2.43,0.1,8.74,13.92,53.73,0.632,5.97,0.517,1
Paprika,Pedicel,8.409932039279614,7.3,2.37,1.31,0.59,9.27,14.26,77.64,0.35,5.67,0.331,1
Turmeric,None,0.0,6.73,3.61,0.72,0.99,5.65,15.33,71.77,0.407,5.97,0.351,0
Turmeric,None,0.0,5.21,2.92,0.28,0.54,8.49,14.87,57.18,0.405,5.49,0.264,0
Turmeric,None,0.0,8.0,4.63,0.85,1.15,8.58,18.43,67.83,0.338,5.54,0.243,0
Cumin,None,0.0,5.98,2.55,0.1,1.6,11.39,15.9,72.51,0.316,5.45,0.11,0
Chili Powder,None,0.0,5.24,1.17,0.25,1.41,9.51,13.31,72.95,0.277,5.24,0.293,0
Ginger,None,0.0,4.81,1.29,1.26,0.1,11.3,11.73,67.38,0.418,5.36,0.304,0
Turmeric,Chalk Powder,45.74050331300497,7.4,1.91,2.0,0.1,10.57,13.76,58.31,0.592,5.73,0.343,1
Cinnamon,None,0.0,4.06,4.2,0.66,1.45,8.89,13.5,72.99,0.412,5.3,0.082,0
Cumin,Small Broken Rice,22.580491865073075,6.08,2.21,1.45,0.1,10.73,15.53,60.34,0.485,5.32,0.222,1
Paprika,None,0.0,5.84,2.26,0.46,0.7,8.64,14.0,60.79,0.358,5.46,0.097,0
Cinnamon,None,0.0,3.0,1.82,0.6,0.44,10.72,15.17,57.31,0.418,5.31,0.101,0
Cinnamon,Hazelnut,11.714531057863192,4.3,1.28,1.04,0.88,7.86,16.6,57.98,0.515,5.37,0.266,1
Black Pepper,None,0.0,3.76,2.15,0.37,0.76,10.89,16.9,58.31,0.328,5.55,0.056,0
Chili Powder,None,0.0,7.66,1.05,0.71,1.0,9.46,19.36,60.95,0.37,5.33,0.205,0
Cumin,None,0.0,3.03,4.17,1.02,0.11,12.03,14.01,85.27,0.379,5.88,0.161,0
Cinnamon,Corn Bran,7.416393723226989,3.68,2.64,0.95,0.46,9.22,16.24,63.18,0.449,5.08,0.355,1
